,osm_id,name,type,coords
0,8107989,KTH: E,university,"[(18.0725628, 59.346775), (18.0726035, 59.3468291), (18.072489, 59.3468526), (18.0726225, 59.3470583), (18.0727561, 59.3472639), (18.0729857, 59.3475274), (18.0729287, 59.3475397), (18.0730247, 59.3476597), (18.0730907, 59.3476471), (18.0733836, 59.3480202), (18.0735122, 59.348184), (18.0737046, 59.3481574), (18.0736282, 59.3480546), (18.0742049, 59.3479454), (18.0741689, 59.3478898), (18.0739772, 59.3479272), (18.073924, 59.3478463), (18.0736266, 59.3479066), (18.0735688, 59.3479183), (18.073536, 59.3478787), (18.073252, 59.3475395), (18.0730091, 59.3472442), (18.0732629, 59.3471861), (18.0731485, 59.3470424), (18.0734382, 59.346984), (18.0733937, 59.346927), (18.0733491, 59.3468699), (18.0730937, 59.3469209), (18.0730254, 59.3468433), (18.0729211, 59.3467153), (18.0729143, 59.3467075), (18.0725628, 59.346775)]"
1,11152418,Nymble,university,"[(18.0713118, 59.347069), (18.0711916, 59.3470418), (18.0710744, 59.3471874), (18.0709519, 59.3471594), (18.0709797, 59.3471273), (18.0706746, 59.3470688), (18.0707495, 59.3469651), (18.0707885, 59.3469877), (18.0708363, 59.3469642), (18.070807, 59.3469476), (18.0708588, 59.3469161), (18.0707481, 59.3468688), (18.0699658, 59.3472774), (18.0699258, 59.3472541), (18.0697181, 59.3473637), (18.0698984, 59.3474583), (18.0699881, 59.3474161), (18.0700321, 59.3474383), (18.0702086, 59.3473765), (18.0703344, 59.3474586), (18.0702338, 59.3474943), (18.0704629, 59.3476576), (18.0706169, 59.3476011), (18.0705756, 59.3475736), (18.0706041, 59.3475573), (18.0709424, 59.3473734), (18.0710552, 59.3474106), (18.0711297, 59.3473438), (18.0710935, 59.3473322), (18.0713118, 59.347069)]"
2,11153139,KTH: L,university,"[(18.0692952, 59.3497438), (18.0690936, 59.3499054), (18.068644, 59.3502657), (18.0688689, 59.3503359), (18.0690076, 59.3502262), (18.069049, 59.3502388), (18.0692599, 59.3500698), (18.0693922, 59.3501126), (18.0694796, 59.3500434), (18.0696669, 59.3498943), (18.0694975, 59.3498376), (18.0695063, 59.3498297), (18.069392, 59.3497934), (18.0694028, 59.3497848), (18.0692952, 59.3497438)]"
3,13698568,KTH: V,university,"[(18.072319, 59.3509119), (18.0722897, 59.350909), (18.0722262, 59.3509027), (18.0720863, 59.3508888), (18.0719806, 59.3511657), (18.0719256, 59.3511609), (18.0715293, 59.3511209), (18.0715366, 59.351096), (18.0716358, 59.3508419), (18.0715872, 59.3508371), (18.0715245, 59.3508309), (18.0713992, 59.3508182), (18.0713055, 59.3510595), (18.0712749, 59.3510564), (18.0706603, 59.3509956), (18.0706386, 59.3510527), (18.0705288, 59.3510419), (18.0704775, 59.3511767), (18.0707604, 59.3512047), (18.0707839, 59.3511428), (18.0715196, 59.3512156), (18.0715102, 59.3512403), (18.0721692, 59.3513055), (18.072319, 59.3509119)]"
4,13699100,KTH: K,university,"[(18.0737023, 59.3487714), (18.0738207, 59.3487653), (18.0739391, 59.3487593), (18.0740059, 59.3491092), (18.074494, 59.3490872), (18.0749981, 59.3490645), (18.0749965, 59.3489102), (18.0749949, 59.3487518), (18.0753077, 59.3487498), (18.075315, 59.3492405), (18.0752739, 59.349242), (18.075068, 59.3492379), (18.0750654, 59.3492168), (18.0737998, 59.3492711), (18.0737023, 59.3487714)]"
5,14796736,KTH: F,university,"[(18.0737672, 59.3481856), (18.073772, 59.3482087), (18.0735858, 59.3482187), (18.0736686, 59.3486177), (18.0741756, 59.3485904), (18.0742046, 59.3487303), (18.0747908, 59.3486987), (18.0747617, 59.3485583), (18.0750218, 59.3485443), (18.075185, 59.3485354), (18.0750967, 59.3481132), (18.0751182, 59.3480462), (18.075102, 59.3479783), (18.07506, 59.3479306), (18.0746866, 59.3479533), (18.0746556, 59.3480068), (18.0746698, 59.3480714), (18.0747067, 59.3481241), (18.0747136, 59.3481603), (18.0747194, 59.3481907), (18.0747572, 59.3483926), (18.0747794, 59.3485152), (18.074706, 59.3485186), (18.074492, 59.348529), (18.0744901, 59.3485189), (18.0744517, 59.3485207), (18.0744082, 59.348523), (18.0744103, 59.3485335), (18.0741969, 59.3485447), (18.0741329, 59.348548), (18.0741025, 59.3483964), (18.0740817, 59.3482962), (18.0740713, 59.3482448), (18.0740179, 59.3482476), (18.0740028, 59.348173), (18.0739103, 59.3481779), (18.0737672, 59.3481856)]"
6,20682986,KTH Entré,university,"[(18.0712061, 59.3478081), (18.0712864, 59.3477166), (18.0715278, 59.3474339), (18.0719676, 59.3469516), (18.0720481, 59.3469336), (18.0721233, 59.3469169), (18.0721971, 59.3469016), (18.0722655, 59.3468877), (18.0723557, 59.3470146), (18.0722073, 59.347043), (18.0720796, 59.3471844), (18.0714636, 59.3478665), (18.0712061, 59.3478081)]"
7,20683064,KTH: Biblioteket,library,"[(18.0712105, 59.348079), (18.0714487, 59.3480388), (18.0716748, 59.3479553), (18.0716261, 59.3479202), (18.0723866, 59.3476537), (18.0723316, 59.3475883), (18.0724924, 59.3475486), (18.0725106, 59.347573), (18.0727311, 59.3475211), (18.0730189, 59.3478558), (18.0731367, 59.3479907), (18.0732623, 59.3481347), (18.0731168, 59.3481635), (18.0731217, 59.3481775), (18.0731323, 59.3482077), (18.0731007, 59.3482125), (18.072839, 59.3482521), (18.0728253, 59.3482252), (18.0716355, 59.3482161), (18.0716183, 59.3481797), (18.0712164, 59.3482442), (18.0711984, 59.3482069), (18.0711282, 59.3482153), (18.0712105, 59.348079)]"
8,20683137,,,"[(18.0710974, 59.3482663), (18.0711282, 59.3482153), (18.0712105, 59.348079), (18.0712929, 59.3479426), (18.0709537, 59.3478894), (18.0707582, 59.3482131), (18.0710974, 59.3482663)]"
9,20686888,KTH: Q,,"[(18.0673256, 59.3502097), (18.0673427, 59.3501966), (18.0673813, 59.3501671), (18.0674678, 59.3501956), (18.0675194, 59.3501561), (18.0676182, 59.35019), (18.0676769, 59.3501433), (18.0677396, 59.3501651), (18.0677245, 59.3502303), (18.0676563, 59.3503063), (18.0675342, 59.3503844), (18.0673933, 59.3504245), (18.0673473, 59.3504376), (18.0671704, 59.3504606), (18.0669767, 59.3504554), (18.0667708, 59.3504049), (18.0665773, 59.3503052), (18.0666477, 59.3502517), (18.0661069, 59.3500534), (18.0661583, 59.3500164), (18.0661321, 59.3500084), (18.0660679, 59.3499854), (18.0661162, 59.3499485), (18.0661065, 59.3499122), (18.0661349, 59.3498912), (18.0661292, 59.3498526), (18.0660802, 59.3498403), (18.0661245, 59.3498042), (18.0662103, 59.3498295), (18.0664212, 59.349669), (18.0663271, 59.3496325), (18.0663715, 59.3495988), (18.0663553, 59.3495683), (18.0663884, 59.3495363), (18.0663866, 59.3495157), (18.0663323, 59.349494), (18.0663778, 59.349452), (18.0666093, 59.3495401), (18.0666608, 59.3495038), (18.0671793, 59.3496927), (18.0671434, 59.3497153), (18.0672711, 59.3497658), (18.0672134, 59.3498026), (18.0672563, 59.3498288), (18.0671887, 59.3498732), (18.0672483, 59.3498998), (18.0672185, 59.3499215), (18.0671927, 59.3499397), (18.0669603, 59.3498556), (18.0668986, 59.3498958), (18.0665383, 59.3497588), (18.0664189, 59.349848), (18.0669273, 59.350039), (18.0668866, 59.3500708), (18.0669221, 59.3500838), (18.0670029, 59.3501139), (18.0671239, 59.3501597), (18.067144, 59.3501466), (18.0671761, 59.350159), (18.0672028, 59.3501687), (18.0671832, 59.3501826), (18.0672312, 59.3502014), (18.0672556, 59.3501844), (18.0673256, 59.3502097)]"
