here is the testing message from branch deveelop
here is the locaion data
Lon	Lat	Z
18.069	59.347	72
18.065	59.353	72
18.065	59.351	72
18.065	59.349	86
18.072	59.346	83
18.071	59.346	63
18.072	59.347	86
18.071	59.347	86
18.071	59.348	83
18.07	59.348	89
18.07	59.349	85
18.069	59.349	86
18.068	59.349	75
18.067	59.35	90
18.066	59.35	73
18.066	59.351	85
18.067	59.351	87
18.068	59.351	88
18.069	59.35	87
18.068	59.35	88
18.073	59.347	73
18.073	59.348	87
18.074	59.348	86
18.073	59.349	90
18.074	59.349	90
18.072	59.349	87
18.071	59.349	90
18.07	59.35	84
18.066	59.349	69
18.065	59.35	79
18.064	59.35	89
18.064	59.349	89
18.065	59.348	91
18.066	59.348	83
18.065	59.347	90
18.066	59.347	93
18.064	59.347	81
18.063	59.346	77
18.062	59.346	77
18.06	59.345	81
18.069	59.348	88
18.067	59.352	85
18.066	59.352	85
18.066	59.353	88
18.072	59.348	82
18.073	59.346	92
18.069	59.351	84
18.071	59.351	89
18.07	59.351	68
18.07	59.352	84
18.069	59.352	90
18.072	59.351	90
18.073	59.351	89
18.073	59.35	84
18.074	59.351	80
18.074	59.35	87
18.076	59.35	86
18.075	59.35	84
18.076	59.349	83
18.075	59.349	80
18.074	59.347	87
18.075	59.347	88
18.072	59.35	81
18.071	59.35	80
18.075	59.348	89
18.071	59.345	86
18.067	59.349	90
18.064	59.351	85
18.068	59.352	86
18.069	59.346	87
